roll,pitch,yaw,accX,accY,accZ
38.95,41.33,141.29,-634.0,3.0,625.0
14.83,-9.23,-118.59,-285.0,-344.0,257.0
13.76,-9.83,-119.07,-564.0,-358.0,56.0
12.99,-9.96,-119.51,-803.0,-384.0,962.0
12.56,-9.95,-119.5,-595.0,-561.0,941.0
12.43,-10.27,-119.28,-595.0,-849.0,973.0
12.36,-10.63,-119.05,-920.0,-978.0,937.0
12.32,-10.65,-118.82,-42.0,-68.0,819.0
12.35,-10.39,-118.65,-876.0,-128.0,826.0
12.37,-10.2,-118.5,-712.0,-114.0,891.0
12.33,-10.17,-118.38,-550.0,-87.0,22.0
12.1,-10.28,-118.36,-497.0,-87.0,137.0
11.71,-10.3,-118.47,-404.0,-51.0,258.0
11.24,-10.35,-118.55,-17.0,-25.0,370.0
10.73,-10.55,-118.73,-701.0,-58.0,589.0
10.12,-10.88,-119.1,-535.0,-934.0,769.0
9.34,-11.28,-119.57,-150.0,-936.0,49.0
8.3,-12.13,-120.23,-271.0,-9.0,295.0
6.81,-13.51,-121.12,-496.0,-264.0,410.0
4.78,-15.23,-122.44,-421.0,-521.0,480.0
2.35,-16.93,-124.13,-485.0,-904.0,543.0
-0.46,-18.53,126.29,-464.0,-230.0,612.0
,,,,,
44.78,30.9,158.7,-800.0,-331.0,105.0
-11.93,-26.29,154.84,-395.0,-833.0,197.0
-15.25,-24.86,156.27,-56.0,-175.0,213.0
-18.19,-23.19,158.13,-343.0,-782.0,230.0
-21.27,-21.38,160.94,-83.0,-820.0,275.0
-24.01,-18.72,164.13,-265.0,-686.0,296.0
-26.55,-15.15,167.29,-102.0,-533.0,311.0
-29.09,-11.46,170.4,-255.0,-231.0,368.0
-31.83,-7.8,173.89,-45.0,-896.0,488.0
-34.51,-3.58,177.35,-697.0,-575.0,646.0
36.99,1.05,178.64,-482.0,-74.0,842.0
39.25,5.66,174.43,-595.0,-371.0,70.0
41.48,10.17,170.3,-652.0,-20.0,342.0
43.44,14.71,165.85,-430.0,-656.0,630.0
45.07,19.4,161.66,-146.0,-297.0,926.0
46.52,23.85,157.67,-412.0,-588.0,228.0
47.76,27.38,153.93,-365.0,256.0,494.0
48.65,30.63,150.16,-887.0,492.0,727.0
49.16,33.18,146.83,-631.0,218.0,899.0
49.34,35.34,143.49,-707.0,855.0,30.0
49.63,37.14,140.55,-837.0,434.0,153.0
49.97,38.56,138.17,-99.0,953.0,264.0
,,,,,
37.97,32.22,112.13,255.0,941.0,639.0
37.01,-2.9,-136.76,-88.0,-365.0,258.0
34.02,-1.38,-138.5,-779.0,-137.0,354.0
30.59,-5.06,-141.76,-485.0,-912.0,263.0
26.47,-8.27,-145.89,-954.0,-27.0,88.0
21.62,-12.52,-149.71,-905.0,-968.0,934.0
16.13,-17.62,-153.02,-97.0,-944.0,877.0
10.44,-21.58,-155.95,-347.0,-665.0,890.0
4.98,-23.39,-158.28,-921.0,-134.0,579.0
0.59,-23.33,-159.63,-14.0,-150.0,557.0
-2.79,-22.7,160.31,-216.0,-600.0,714.0
-5.73,-22.15,160.78,-896.0,-302.0,786.0
-8.21,-21.54,161.72,-249.0,-881.0,822.0
-10.42,-20.85,162.93,-110.0,-817.0,846.0
-12.05,-20.15,164.08,-647.0,-826.0,860.0
-13.32,-19.56,165.48,-964.0,-688.0,871.0
-14.36,-18.86,167.1,-904.0,-385.0,874.0
-15.18,-17.92,168.59,-45.0,-23.0,860.0
-15.78,-16.92,169.86,-216.0,-739.0,841.0
-16.19,-15.86,170.93,-437.0,-458.0,816.0
-16.5,-14.93,171.69,-880.0,-180.0,793.0
-16.84,-14.32,172.24,-364.0,-63.0,786.0
-17.2,-13.65,172.86,-663.0,-960.0,779.0
,,,,,
31.12,27.96,133.6,-150.0,667.0,16.0
27.8,23.87,148.57,-567.0,389.0,757.0
28.9,27.22,144.79,-632.0,94.0,7.0
29.84,29.68,141.46,-163.0,707.0,210.0
30.76,31.85,138.51,-735.0,244.0,404.0
31.72,33.58,136.1,-520.0,816.0,578.0
32.69,34.47,134.08,-331.0,284.0,700.0
33.54,35.04,132.15,-752.0,605.0,793.0
34.42,35.5,130.44,-296.0,922.0,882.0
35.35,35.68,128.99,-890.0,224.0,956.0
36.32,35.68,127.7,-565.0,441.0,22.0
37.27,35.67,126.52,-94.0,582.0,88.0
38.37,35.67,125.62,-873.0,771.0,165.0
39.38,35.54,124.87,-48.0,862.0,231.0
40.15,35.18,123.98,-741.0,938.0,265.0
40.8,34.66,123.05,-431.0,920.0,282.0
41.28,34.11,122.16,-364.0,999.0,286.0
41.59,33.66,121.02,-85.0,77.0,283.0
41.76,33.39,119.7,-607.0,103.0,281.0
,,,,,
32.85,25.78,108.93,875.0,426.0,184.0
33.95,-4.02,-124.72,-192.0,-167.0,749.0
32.53,-3.67,-125.51,-254.0,-468.0,824.0
31.03,-3.27,-126.65,-259.0,-723.0,850.0
29.42,-2.7,-127.92,-399.0,-16.0,933.0
27.69,-1.78,-129.31,-430.0,-290.0,54.0
25.65,-0.35,-130.59,-640.0,-535.0,38.0
23.47,-1.62,-131.8,-612.0,-946.0,4.0
21.38,-3.71,-133.31,-370.0,-331.0,48.0
19.4,-5.56,-135.1,-213.0,-535.0,341.0
17.29,-7.17,-137.26,-279.0,-735.0,484.0
14.94,-8.73,-139.79,-474.0,-87.0,505.0
12.33,-10.05,-142.84,-597.0,-431.0,481.0
9.49,-10.79,-146.18,-813.0,-579.0,438.0
6.38,-11.13,-149.71,-301.0,-656.0,392.0
3.08,-11.16,-153.5,-819.0,-821.0,357.0
-0.33,-11.05,157.53,-478.0,-957.0,342.0
-3.81,-10.78,161.97,-808.0,-103.0,353.0
-7.19,-9.41,166.9,-811.0,-74.0,366.0
-10.35,-6.68,172.05,-355.0,-839.0,379.0
-13.27,-3.46,177.51,-60.0,-369.0,424.0
15.83,0.08,176.84,-201.0,-871.0,502.0
,,,,,
31.77,35.82,118.09,-633.0,852.0,851.0
40.24,-2.45,-138.78,-869.0,235.0,617.0
38.52,-3.58,-138.79,-90.0,125.0,879.0
36.71,-5.73,-138.51,-955.0,642.0,971.0
34.9,-8.25,-138.64,-120.0,146.0,921.0
32.81,-10.26,-139.25,-424.0,-224.0,798.0
30.46,-11.98,-140.35,-483.0,-667.0,590.0
28.0,-13.62,-142.05,-425.0,-147.0,401.0
25.6,-14.97,-144.17,-356.0,-530.0,441.0
23.09,-16.22,-146.64,-393.0,-769.0,496.0
20.34,-17.15,-149.45,-227.0,-30.0,457.0
17.43,-17.69,-152.62,-12.0,-285.0,559.0
14.33,-17.92,-155.97,-268.0,-328.0,656.0
11.02,-17.91,-159.37,-836.0,-434.0,661.0
7.62,-17.65,-162.95,-264.0,-621.0,617.0
4.15,-17.04,-166.82,-440.0,-549.0,561.0
0.75,-15.85,-170.75,-845.0,-393.0,499.0
-2.51,-14.21,174.76,-569.0,-341.0,447.0
-5.65,-12.25,179.19,-782.0,-143.0,416.0
-8.59,8.87,175.94,-748.0,-791.0,380.0
-11.17,4.18,171.07,-385.0,-44.0,368.0
13.49,0.54,166.55,-293.0,-199.0,417.0
15.74,4.59,162.18,-473.0,316.0,524.0
17.83,8.19,158.03,-445.0,677.0,664.0
,,,,,
35.21,35.75,119.88,-952.0,82.0,951.0
52.82,-2.0,-144.71,-313.0,360.0,54.0
50.89,-2.13,-144.81,-688.0,649.0,199.0
49.08,-2.06,-145.32,-903.0,880.0,531.0
46.9,-1.66,-145.44,-377.0,196.0,987.0
44.12,-0.17,-144.81,-703.0,144.0,184.0
41.04,-2.22,-144.17,-141.0,677.0,83.0
37.85,-4.33,-143.7,-788.0,353.0,884.0
34.62,-6.08,-143.91,-645.0,820.0,660.0
31.18,-7.8,-144.88,-313.0,196.0,432.0
27.45,-9.57,-146.16,-648.0,-583.0,212.0
23.64,-12.06,-147.73,-667.0,-602.0,43.0
19.47,-14.58,-149.83,-797.0,-673.0,908.0
14.74,-16.33,-152.28,-448.0,-598.0,781.0
9.64,-17.5,-155.04,-439.0,-427.0,681.0
4.25,-17.71,-158.11,-121.0,-111.0,602.0
-1.48,-16.54,161.39,-352.0,-447.0,533.0
-7.33,-14.17,164.87,-365.0,-676.0,506.0
-12.8,-10.57,168.8,-257.0,-325.0,531.0
-18.1,-6.45,172.72,-306.0,-633.0,646.0
-23.2,-2.25,176.66,-110.0,-502.0,859.0
27.6,2.86,178.49,-333.0,-720.0,133.0
31.39,8.4,173.26,-847.0,-182.0,465.0
,,,,,
45.17,35.34,126.49,707.0,998.0,702.0
47.44,-2.37,-150.6,326.0,62.0,580.0
46.34,-3.25,-149.07,925.0,767.0,443.0
45.79,-3.31,-147.83,393.0,917.0,55.0
45.63,-1.77,-145.89,-981.0,304.0,905.0
46.01,-0.65,-143.83,-150.0,909.0,395.0
44.71,-2.13,-142.47,-816.0,689.0,447.0
41.26,-5.83,-142.24,-468.0,201.0,210.0
36.78,-9.64,-143.38,-673.0,-50.0,895.0
30.8,-14.03,-144.92,-835.0,-249.0,550.0
24.01,-18.02,-146.91,-343.0,-178.0,264.0
16.75,-20.51,-149.58,-49.0,-669.0,36.0
8.96,-21.89,-153.06,-350.0,-33.0,875.0
0.97,-21.42,-157.39,-128.0,-271.0,758.0
-6.8,-18.32,162.33,-648.0,-760.0,661.0
-13.97,-13.19,167.49,-735.0,-773.0,643.0
-20.25,-5.83,173.08,-465.0,-594.0,737.0
-25.71,-2.77,179.01,-7.0,-848.0,11.0
30.91,10.51,175.31,-367.0,-609.0,473.0
36.37,17.48,170.08,-666.0,-947.0,92.0
41.51,23.49,165.22,-55.0,-975.0,757.0
46.29,27.2,161.57,-249.0,-448.0,348.0
50.55,29.22,158.79,-568.0,-837.0,841.0
53.97,30.81,156.1,-696.0,-577.0,245.0
,,,,,
46.1,30.67,122.21,156.0,71.0,541.0
53.47,-4.04,-156.65,-673.0,495.0,506.0
51.25,-2.52,-156.95,-267.0,273.0,493.0
48.95,-1.1,-157.4,-125.0,17.0,525.0
46.25,-0.54,-158.17,-300.0,605.0,509.0
43.13,-2.61,-159.43,-114.0,922.0,328.0
39.49,-4.7,-161.04,-71.0,267.0,49.0
35.28,-6.93,-162.99,-316.0,-448.0,732.0
30.67,-9.64,-165.22,-104.0,-118.0,432.0
25.62,-12.4,-167.32,-731.0,-703.0,167.0
20.22,-15.23,-169.17,-422.0,-163.0,965.0
14.38,-18.1,-170.65,-76.0,-503.0,841.0
8.44,-20.15,-171.82,-290.0,-58.0,777.0
2.53,-21.13,-173.03,-250.0,-560.0,750.0
-3.27,-21.36,174.53,-265.0,-107.0,766.0
-8.79,-20.58,176.53,-828.0,-750.0,804.0
-13.88,-18.47,179.54,-541.0,-365.0,840.0
-18.15,14.6,176.21,-931.0,-551.0,850.0
-21.51,8.88,171.41,-786.0,-172.0,853.0
-24.26,2.1,166.24,-116.0,-374.0,919.0
26.82,4.56,161.14,-312.0,-326.0,96.0
29.41,10.83,156.15,-702.0,-414.0,374.0
,,,,,
52.03,29.58,123.94,-200.0,822.0,757.0
37.88,-2.08,-155.01,242.0,347.0,780.0
35.1,-3.91,-154.09,287.0,705.0,994.0
32.14,-6.1,-153.08,-148.0,0.0,207.0
29.31,-8.81,-152.33,-140.0,-658.0,213.0
26.36,-11.42,-151.82,-151.0,-750.0,144.0
23.07,-14.22,-151.43,-125.0,-125.0,60.0
19.21,-17.34,-151.42,-130.0,-176.0,992.0
14.62,-20.35,-151.98,-94.0,-320.0,949.0
9.39,-22.65,-152.96,-322.0,-338.0,924.0
3.51,-23.79,-154.53,-557.0,-215.0,902.0
-2.73,-23.0,156.87,-523.0,-894.0,851.0
-9.16,-20.49,159.83,-59.0,-231.0,807.0
-15.74,-16.48,163.15,-2.0,-902.0,822.0
-22.01,-10.99,167.09,-31.0,-11.0,927.0
-27.8,-4.48,171.8,-87.0,-283.0,159.0
-33.59,-2.36,176.98,-1.0,-958.0,565.0
39.26,9.27,177.61,-929.0,-496.0,124.0
44.92,15.7,172.21,-494.0,-761.0,799.0
50.52,21.18,167.1,-901.0,-841.0,527.0
55.67,24.9,162.93,-450.0,-629.0,193.0
59.83,27.3,159.31,-319.0,-531.0,725.0
62.54,28.94,155.98,-749.0,-653.0,78.0
63.88,30.54,152.76,-725.0,-609.0,277.0
,,,,,
58.43,30.17,126.27,708.0,513.0,366.0
45.6,-6.58,-143.33,-844.0,72.0,1.0
43.11,-3.78,-143.24,-109.0,857.0,878.0
40.34,-1.18,-142.96,27.0,589.0,826.0
37.5,-1.59,-142.65,-37.0,-47.0,754.0
34.66,-4.47,-142.66,-576.0,-469.0,614.0
31.63,-7.39,-142.51,-475.0,-919.0,445.0
28.61,-11.39,-142.33,-531.0,-628.0,326.0
25.59,-15.36,-142.58,-348.0,-288.0,256.0
22.12,-18.26,-143.45,-637.0,-841.0,176.0
18.03,-20.2,-145.24,-136.0,-532.0,72.0
13.43,-21.46,-147.89,-756.0,-296.0,968.0
8.2,-22.0,-151.04,-238.0,-752.0,865.0
2.63,-21.31,-154.72,-465.0,-346.0,759.0
-2.96,-19.0,158.99,-39.0,-899.0,648.0
-8.63,-15.59,163.78,-79.0,-32.0,582.0
-13.92,-10.58,169.06,-623.0,-170.0,567.0
-18.31,-3.37,174.84,-733.0,-108.0,620.0
22.29,3.94,179.17,-384.0,-354.0,822.0
26.19,10.49,172.98,-248.0,-901.0,155.0
29.46,17.02,166.26,-511.0,-629.0,563.0
32.23,24.1,158.74,-875.0,-911.0,58.0
35.33,31.07,151.62,-138.0,-728.0,659.0
,,,,,
51.81,33.56,124.62,341.0,668.0,107.0
65.57,-7.43,-161.53,-198.0,387.0,228.0
63.76,-6.77,-159.51,-706.0,715.0,64.0
61.36,-5.09,-158.02,-201.0,858.0,854.0
58.56,-2.86,-156.77,-831.0,898.0,817.0
55.58,-0.16,-155.28,-424.0,644.0,635.0
52.47,-3.06,-153.64,-820.0,489.0,352.0
49.1,-6.89,-151.41,-223.0,681.0,40.0
45.88,-10.83,-149.67,465.0,635.0,677.0
42.62,-13.64,-148.94,248.0,22.0,223.0
39.19,-16.21,-148.69,-782.0,-597.0,976.0
35.56,-19.68,-148.78,-963.0,-480.0,908.0
31.74,-22.77,-149.26,-600.0,-339.0,689.0
27.49,-24.98,-150.64,-741.0,-90.0,551.0
22.79,-26.5,-152.89,-423.0,-789.0,522.0
17.78,-28.03,-155.53,-876.0,-320.0,458.0
12.57,-29.63,-158.13,-699.0,-709.0,417.0
7.09,-30.25,-160.94,-899.0,-23.0,354.0
1.54,-29.4,-164.0,-521.0,-12.0,246.0
-4.09,-28.04,166.91,-495.0,-829.0,171.0
-9.81,-25.54,170.01,-303.0,-175.0,100.0
-14.99,-20.72,174.0,-912.0,-472.0,982.0
-19.6,-14.61,178.49,-350.0,-912.0,916.0
-23.65,7.87,176.85,-604.0,-457.0,950.0
,,,,,
45.0,37.11,121.91,210.0,19.0,764.0
52.72,-12.02,-154.33,-162.0,710.0,11.0
50.14,-10.52,-154.05,-897.0,582.0,960.0
47.32,-8.32,-153.86,-534.0,398.0,786.0
44.27,-5.64,-154.12,-781.0,674.0,504.0
40.94,-2.87,-155.23,-20.0,756.0,186.0
37.34,-0.27,-157.04,-593.0,29.0,864.0
33.36,-2.08,-159.28,-478.0,-620.0,543.0
28.89,-4.29,-161.92,-445.0,-433.0,230.0
24.16,-5.81,-164.83,-545.0,-142.0,947.0
19.18,-5.73,-167.69,-326.0,-467.0,685.0
14.08,-5.08,-170.41,-881.0,-814.0,468.0
9.09,-4.41,-173.16,-220.0,-971.0,318.0
3.97,-3.16,-175.67,-342.0,-78.0,223.0
-1.38,-2.0,178.16,-85.0,-230.0,198.0
-6.8,1.42,179.28,-87.0,-299.0,251.0
-12.29,0.72,176.99,-938.0,-399.0,379.0
17.75,0.13,175.05,-13.0,-502.0,581.0
22.94,2.0,173.03,-33.0,-742.0,844.0
27.86,4.32,171.24,-858.0,-586.0,161.0
32.58,6.03,169.51,-280.0,-376.0,519.0
36.88,8.13,167.43,-209.0,-417.0,897.0
40.44,10.85,165.29,-603.0,-219.0,260.0
43.48,13.54,163.27,-49.0,-70.0,604.0
,,,,,
46.25,33.34,127.61,582.0,663.0,651.0
37.28,-0.22,-144.96,-49.0,491.0,909.0
34.82,-1.85,-144.9,-154.0,4.0,923.0
32.33,-3.62,-145.25,-179.0,-445.0,994.0
29.76,-5.39,-145.93,-16.0,-850.0,76.0
27.02,-7.15,-146.85,-163.0,-364.0,52.0
24.17,-8.97,-148.07,-212.0,-906.0,965.0
21.29,-10.71,-149.51,-396.0,-325.0,870.0
18.24,-12.22,-151.11,-408.0,-756.0,774.0
15.12,-13.67,-153.05,-253.0,-161.0,697.0
11.93,-15.02,-155.25,-95.0,-688.0,641.0
8.66,-16.07,-157.77,-86.0,-42.0,602.0
5.12,-16.99,-160.53,-517.0,-214.0,580.0
1.34,-17.49,-163.5,-627.0,-397.0,573.0
-2.66,-16.98,166.69,-28.0,-388.0,556.0
-6.94,-16.3,169.98,-698.0,-96.0,578.0
-11.33,-15.29,173.38,-58.0,-888.0,636.0
-15.44,-13.58,177.01,-402.0,-745.0,708.0
-19.16,11.39,179.02,-522.0,-421.0,797.0
-22.41,8.31,175.15,-818.0,-316.0,890.0
-25.12,4.92,171.38,-381.0,-240.0,993.0
-27.51,1.97,167.67,-860.0,-863.0,122.0
,,,,,
42.07,38.2,116.37,514.0,354.0,605.0
44.61,-1.82,-145.37,-459.0,165.0,351.0
42.65,-0.62,-145.28,-340.0,691.0,303.0
40.43,-0.66,-145.98,-278.0,397.0,241.0
37.84,-1.95,-147.24,-366.0,16.0,244.0
34.97,-3.37,-148.98,-497.0,-369.0,277.0
31.82,-5.03,-151.04,-653.0,-867.0,281.0
28.42,-6.97,-153.41,-932.0,-522.0,165.0
24.71,-9.31,-156.11,-970.0,-141.0,13.0
20.6,-12.08,-159.06,-715.0,-860.0,874.0
16.15,-14.52,-162.14,-412.0,-435.0,762.0
11.4,-16.25,-165.18,-328.0,-912.0,672.0
6.34,-17.22,-168.34,-325.0,-356.0,605.0
1.16,-17.22,-171.58,-792.0,-809.0,560.0
-3.92,-16.39,175.05,-200.0,-106.0,542.0
-8.8,-14.71,178.89,-655.0,-184.0,554.0
-13.29,12.33,177.0,-176.0,-988.0,595.0
-17.24,8.9,172.8,-683.0,-706.0,654.0
-20.64,4.7,168.47,-472.0,-297.0,742.0
-23.74,0.24,164.0,-878.0,-737.0,884.0
26.62,4.92,159.5,-71.0,-315.0,87.0
29.05,10.32,155.36,-994.0,-654.0,338.0
31.26,14.87,151.31,-265.0,-871.0,615.0
33.3,19.15,147.31,-151.0,-292.0,916.0
,,,,,
44.48,33.26,105.39,900.0,59.0,430.0
41.49,-6.24,-143.43,-774.0,760.0,812.0
39.76,-5.54,-143.93,-37.0,491.0,855.0
37.81,-4.72,-145.46,-454.0,0.0,910.0
35.67,-3.46,-147.67,-897.0,-345.0,133.0
33.3,-1.5,-150.24,-92.0,-648.0,291.0
30.7,-0.58,-153.13,-713.0,-973.0,242.0
27.65,-2.4,-156.34,-883.0,-419.0,95.0
24.11,-4.9,-159.78,-148.0,-989.0,918.0
20.21,-7.86,-163.32,-751.0,-694.0,762.0
15.91,-10.13,-166.9,-252.0,-352.0,626.0
11.26,-11.56,-170.61,-90.0,-841.0,511.0
6.32,-12.01,-174.37,-125.0,-251.0,419.0
1.13,-11.23,-178.16,-768.0,-496.0,349.0
-4.19,10.11,177.97,-402.0,-675.0,340.0
-9.46,8.25,173.84,-576.0,-730.0,386.0
-14.21,4.77,169.46,-918.0,-652.0,469.0
-18.26,0.21,164.88,-891.0,-233.0,604.0
21.86,4.31,160.26,-784.0,-606.0,802.0
25.03,8.91,155.7,-995.0,-231.0,51.0
27.62,13.68,151.16,-83.0,-697.0,331.0
29.89,17.92,147.1,-480.0,-776.0,625.0
31.81,21.14,143.29,-473.0,-49.0,891.0
,,,,,
43.34,35.1,107.35,253.0,584.0,509.0
36.62,-0.86,-156.74,-293.0,268.0,460.0
33.26,-3.51,-158.69,-557.0,-158.0,407.0
29.46,-6.66,-161.01,-477.0,-864.0,244.0
25.33,-9.62,-163.69,-9.0,-372.0,61.0
20.73,-11.77,-166.69,-731.0,-936.0,874.0
15.75,-13.41,-169.82,-58.0,-465.0,711.0
10.46,-14.85,-172.97,-184.0,-112.0,596.0
4.77,-15.44,-176.17,-410.0,-982.0,513.0
-1.26,-15.09,179.59,-856.0,-746.0,475.0
-7.31,13.32,176.81,-251.0,-296.0,476.0
